FiscalYear,Region,State,PollutantGroup,Pollutant,NumberOfTMDLs,CumulativeTMDLs
1997,01,NH,SALINITY/TOTAL DISSOLVED SOLIDS/CHLORIDES/SULFATES,CHLORIDE,0,0
1997,01,RI,ENTEROCOCCUS BACTERIA,ENTEROCOCCUS BACTERIA,0,0
1997,01,RI,MERCURY,MERCURY,0,0
1997,01,RI,METALS (OTHER THAN MERCURY),ALUMINUM,0,0
1997,01,RI,METALS (OTHER THAN MERCURY),CADMIUM,0,0
1997,01,RI,METALS (OTHER THAN MERCURY),"CADMIUM, DISSOLVED",0,0
1997,01,RI,METALS (OTHER THAN MERCURY),COPPER,0,0
1997,01,RI,METALS (OTHER THAN MERCURY),"COPPER, DISSOLVED",0,0
1997,01,RI,METALS (OTHER THAN MERCURY),IRON,0,0
1997,01,RI,METALS (OTHER THAN MERCURY),"IRON, TOTAL",0,0
1997,01,RI,METALS (OTHER THAN MERCURY),LEAD,0,0
1997,01,RI,METALS (OTHER THAN MERCURY),"LEAD, DISSOLVED",0,0
1997,01,RI,METALS (OTHER THAN MERCURY),ZINC,0,0
1997,01,RI,NUTRIENTS,NUTRIENTS,0,0
1997,01,RI,NUTRIENTS,"PHOSPHORUS, TOTAL",0,0
1997,01,RI,PATHOGENS,ENTEROCOCCUS,0,0
1997,01,RI,PATHOGENS,ESCHERICHIA COLI (E. COLI),0,0
1997,01,RI,PATHOGENS,FECAL COLIFORM,0,0
1997,01,RI,PATHOGENS,PATHOGENS,0,0
1997,01,VT,ACID,ACID,0,0
1997,01,VT,MERCURY,MERCURY,0,0
1997,01,VT,NUTRIENTS,PHOSPHORUS,0,0
1997,01,VT,NUTRIENTS,"PHOSPHORUS, TOTAL",0,0
1997,01,VT,OTHER CAUSE,POLLUTANTS IN URBAN STORMWATER,0,0
1997,01,VT,PATHOGENS,ESCHERICHIA COLI (E. COLI),0,0
1997,01,VT,PATHOGENS,PATHOGENS,0,0
1997,01,VT,PESTICIDES,DICHLORVOS,0,0
1997,01,VT,SEDIMENT,SEDIMENT,0,0
1997,01,VT,TEMPERATURE,TEMPERATURE,0,0
1997,02,NJ,ALGAL GROWTH,ALGAE,0,0
1997,02,NJ,MACROPHYTES,MACROPHYTES,0,0
1997,02,NJ,MERCURY,MERCURY,0,0
1997,02,NJ,METALS (OTHER THAN MERCURY),ARSENIC,0,0
1997,02,NJ,METALS (OTHER THAN MERCURY),NICKEL,0,0
1997,02,NJ,NUTRIENTS,NUTRIENTS,0,0
1997,02,NJ,NUTRIENTS,PHOSPHORUS,0,0
1997,02,NJ,NUTRIENTS,"PHOSPHORUS, TOTAL",0,0
1997,02,NJ,PATHOGENS,FECAL COLIFORM,0,0
1997,02,NJ,PATHOGENS,TOTAL COLIFORM,0,0
1997,02,NJ,PESTICIDES,"1,2-DICHLOROETHANE",0,0
1997,02,NJ,POLYCHLORINATED BIPHENYLS (PCBS),PCBS IN FISH TISSUE,0,0
1997,02,NJ,POLYCHLORINATED BIPHENYLS (PCBS),POLYCHLORINATED BIPHENYLS (PCBS),0,0
1997,02,NJ,TEMPERATURE,TEMPERATURE,0,0
1997,02,NJ,TETRACHLOROETHENE,TETRACHLOROETHENE,0,0
1997,02,NJ,TOXIC ORGANICS,TETRACHLOROETHYLENE,0,0
1997,02,NJ,TURBIDITY,TOTAL SUSPENDED SOLIDS (TSS),0,0
1997,02,NJ,UNLISTED BUT IMPAIRED,UNLISTED BUT IMPAIRED,0,0
1997,02,NY,AMMONIA,AMMONIA,0,0
1997,02,NY,AMMONIA,AMMONIUM,0,0
1997,02,NY,MERCURY,MERCURY,0,0
1997,02,NY,NUTRIENTS,NITRATE,0,0
1997,02,NY,NUTRIENTS,NITROGEN,0,0
1997,02,NY,NUTRIENTS,PHOSPHORUS,8,8
1997,02,NY,NUTRIENTS,"PHOSPHORUS, TOTAL",0,0
1997,02,NY,PATHOGENS,FECAL COLIFORM,0,0
1997,02,NY,PATHOGENS,PATHOGENS,0,0
1997,02,NY,SALINITY/TOTAL DISSOLVED SOLIDS/CHLORIDES/SULFATES,SULFATE,0,0
1997,02,NY,SULFATES,SULFATES,0,0
1997,02,PR,AMMONIA,"AMMONIA, TOTAL",0,0
1997,02,PR,METALS (OTHER THAN MERCURY),COPPER,0,0
1997,02,PR,ORGANIC ENRICHMENT/OXYGEN DEPLETION,BIOCHEMICAL OXYGEN DEMAND (BOD),0,0
1997,02,PR,PATHOGENS,FECAL COLIFORM,0,0
1997,02,VI,ENTEROCOCCUS BACTERIA,ENTEROCOCCUS BACTERIA,0,0
1997,02,VI,NUTRIENTS,PHOSPHORUS,0,0
1997,02,VI,OIL AND GREASE,OIL AND GREASE,0,0
1997,02,VI,ORGANIC ENRICHMENT/OXYGEN DEPLETION,BIOCHEMICAL OXYGEN DEMAND (BOD),0,0
1997,02,VI,ORGANIC ENRICHMENT/OXYGEN DEPLETION,DISSOLVED OXYGEN,0,0
1997,02,VI,ORGANIC ENRICHMENT/OXYGEN DEPLETION,SEDIMENT OXYGEN DEMAND,0,0
1997,02,VI,PATHOGENS,FECAL COLIFORM,0,0
1997,02,VI,TURBIDITY,TOTAL SUSPENDED SOLIDS (TSS),0,0
1997,03,DC,DDD,DDD,0,0
1997,03,DC,DDE,DDE,0,0
1997,03,DC,DDT,DDT,0,0
1997,03,DC,MERCURY,MERCURY,0,0
1997,03,DC,METALS (OTHER THAN MERCURY),ARSENIC,0,0
1997,03,DC,METALS (OTHER THAN MERCURY),COPPER,0,0
1997,03,DC,METALS (OTHER THAN MERCURY),LEAD,0,0
1997,03,DC,METALS (OTHER THAN MERCURY),ZINC,0,0
1997,03,DC,NUTRIENTS,NITROGEN,0,0
1997,03,DC,NUTRIENTS,"NITROGEN, TOTAL",0,0
1997,03,DC,NUTRIENTS,PHOSPHORUS,0,0
1997,03,DC,NUTRIENTS,"PHOSPHORUS, TOTAL",0,0
1997,03,DC,OIL AND GREASE,OIL AND GREASE,0,0
1997,03,DC,ORGANIC ENRICHMENT/OXYGEN DEPLETION,BIOCHEMICAL OXYGEN DEMAND (BOD),0,0
1997,03,DC,PATHOGENS,ESCHERICHIA COLI (E. COLI),0,0
1997,03,DC,PATHOGENS,FECAL COLIFORM,0,0
1997,03,DC,PATHOGENS,PATHOGENS,0,0
1997,03,DC,PESTICIDES,CHLORDANE,0,0
1997,03,DC,PESTICIDES,DDT (DICHLORODIPHENYLTRICHLOROETHANE),0,0
1997,03,DC,PESTICIDES,DDT METABOLITES,0,0
1997,03,DC,PESTICIDES,DIELDRIN,0,0
1997,03,DC,PESTICIDES,HEPTACHLOR EPOXIDE,0,0
1997,03,DC,PH/ACIDITY/CAUSTIC CONDITIONS,PH,0,0
1997,03,DC,POLYCHLORINATED BIPHENYLS (PCBS),PCBS IN FISH TISSUE,0,0
1997,03,DC,POLYCHLORINATED BIPHENYLS (PCBS),POLYCHLORINATED BIPHENYLS (PCBS),0,0
1997,03,DC,SUSPENDED SEDIMENT,SUSPENDED SEDIMENT,0,0
1997,03,DC,SUSPENDED SOLIDS,SUSPENDED SOLIDS,0,0
1997,03,DC,TOXIC ORGANICS,PAH1 - 2 & 3 RING POLYCYCLIC AROMATIC HYDROCARBONS,0,0
1997,03,DC,TOXIC ORGANICS,PAH2 - 4 RING POLYCYCLIC AROMATIC HYDROCARBONS,0,0
1997,03,DC,TOXIC ORGANICS,PAH3 - 5 & 6 RING POLYCYCLIC AROMATIC HYDROCARBONS,0,0
1997,03,DC,TOXICS,TOXICS,0,0
1997,03,DC,TRASH,TRASH,0,0
1997,03,DC,TURBIDITY,TOTAL SUSPENDED SOLIDS (TSS),0,0
1997,03,DE,METALS (OTHER THAN MERCURY),ZINC,0,0
1997,03,DE,NH3-N,NH3-N,0,0
1997,03,DE,NUTRIENTS,NITROGEN,0,0
1997,03,DE,NUTRIENTS,PHOSPHORUS,0,0
1997,03,DE,ORGANIC ENRICHMENT/OXYGEN DEPLETION,BIOCHEMICAL OXYGEN DEMAND (BOD),0,0
1997,03,DE,ORGANIC ENRICHMENT/OXYGEN DEPLETION,DISSOLVED OXYGEN,0,0
1997,03,DE,PATHOGENS,ENTEROCOCCUS,0,0
1997,03,DE,POLYCHLORINATED BIPHENYLS (PCBS),POLYCHLORINATED BIPHENYLS (PCBS),0,0
1997,03,DE,TEMPERATURE,TEMPERATURE,0,0
1997,03,DE,TURBIDITY,TOTAL SUSPENDED SOLIDS (TSS),0,0
1997,03,MD,AMMONIA,AMMONIA,0,0
1997,03,MD,AMMONIA,AMMONIUM,0,0
1997,03,MD,BACTERIA,BACTERIA,0,0
1997,03,MD,CARBONACEOUS BOD,CARBONACEOUS BOD,0,0
1997,03,MD,ENTEROCOCCUS BACTERIA,ENTEROCOCCUS BACTERIA,0,0
1997,03,MD,MERCURY,MERCURY,0,0
1997,03,MD,METALS (OTHER THAN MERCURY),ALUMINUM,0,0
1997,03,MD,METALS (OTHER THAN MERCURY),IRON,0,0
1997,03,MD,METHYL MERCURY,METHYL MERCURY,0,0
1997,03,MD,NITROGENOUS BOD,NITROGENOUS BOD,0,0
1997,03,MD,NOD (NITROGEN OXYGEN DEMAND),NOD (NITROGEN OXYGEN DEMAND),0,0
1997,03,MD,NUTRIENTS,NITRATE,0,0
1997,03,MD,NUTRIENTS,NITROGEN,0,0
1997,03,MD,NUTRIENTS,"NITROGEN, TOTAL",0,0
1997,03,MD,NUTRIENTS,NUTRIENTS,0,0
1997,03,MD,NUTRIENTS,PHOSPHORUS,0,0
1997,03,MD,NUTRIENTS,"PHOSPHORUS, TOTAL",0,0
1997,03,MD,ORGANIC ENRICHMENT/OXYGEN DEPLETION,BIOCHEMICAL OXYGEN DEMAND (BOD),0,0
1997,03,MD,PATHOGENS,ESCHERICHIA COLI (E. COLI),0,0
1997,03,MD,PATHOGENS,FECAL COLIFORM,0,0
1997,03,MD,PATHOGENS,PATHOGENS,0,0
1997,03,MD,PCBS IN SEDIMENTS AND FISH TISSUE,PCBS IN SEDIMENTS AND FISH TISSUE,0,0
1997,03,MD,PESTICIDES,CHLORDANE,0,0
1997,03,MD,PH/ACIDITY/CAUSTIC CONDITIONS,PH,0,0
1997,03,MD,POLYCHLORINATED BIPHENYLS (PCBS),PCBS IN FISH TISSUE,0,0
1997,03,MD,POLYCHLORINATED BIPHENYLS (PCBS),PCBS IN SEDIMENT,0,0
1997,03,MD,POLYCHLORINATED BIPHENYLS (PCBS),POLYCHLORINATED BIPHENYLS (PCBS),0,0
1997,03,MD,SALINITY/TOTAL DISSOLVED SOLIDS/CHLORIDES/SULFATES,SULFATE,0,0
1997,03,MD,SEDIMENT,SEDIMENT,0,0
1997,03,MD,SUSPENDED SEDIMENT,SUSPENDED SEDIMENT,0,0
1997,03,MD,TRASH,TRASH,0,0
1997,03,MD,TURBIDITY,TOTAL SUSPENDED SOLIDS (TSS),0,0
1997,03,PA,AMMONIA,AMMONIA,0,0
1997,03,PA,AMMONIA,AMMONIA-NITROGEN,0,0
1997,03,PA,CHLORINE,"CHLORINE, RESIDUAL (CHLORINE DEMAND)",0,0
1997,03,PA,MERCURY,MERCURY,0,0
1997,03,PA,METALS (OTHER THAN MERCURY),ALUMINUM,0,0
1997,03,PA,METALS (OTHER THAN MERCURY),COPPER,0,0
1997,03,PA,METALS (OTHER THAN MERCURY),IRON,0,0
1997,03,PA,METALS (OTHER THAN MERCURY),LEAD,0,0
1997,03,PA,METALS (OTHER THAN MERCURY),MANGANESE,0,0
1997,03,PA,METALS (OTHER THAN MERCURY),ZINC,0,0
1997,03,PA,NUTRIENTS,NITROGEN,0,0
1997,03,PA,NUTRIENTS,"NITROGEN, NITRATE",0,0
1997,03,PA,NUTRIENTS,"NITROGEN, NITRITE",0,0
1997,03,PA,NUTRIENTS,PHOSPHATE,0,0
1997,03,PA,NUTRIENTS,PHOSPHORUS,0,0
1997,03,PA,ORGANIC ENRICHMENT/OXYGEN DEPLETION,"BIOCHEMICAL OXYGEN DEMAND (BOD), CARBONACEOUS",0,0
1997,03,PA,ORGANIC ENRICHMENT/OXYGEN DEPLETION,DISSOLVED OXYGEN,0,0
1997,03,PA,OTHER CAUSE,OSMOTIC PRESSURE,0,0
1997,03,PA,PATHOGENS,FECAL COLIFORM,0,0
1997,03,PA,PESTICIDES,CHLORDANE,0,0
1997,03,PA,PESTICIDES,DDT (DICHLORODIPHENYLTRICHLOROETHANE),0,0
1997,03,PA,PH/ACIDITY/CAUSTIC CONDITIONS,PH,0,0
1997,03,PA,POLYCHLORINATED BIPHENYLS (PCBS),POLYCHLORINATED BIPHENYLS (PCBS),0,0
1997,03,PA,SEDIMENT,SEDIMENT,0,0
1997,03,PA,TEMPERATURE,TEMPERATURE,0,0
1997,03,PA,TOXIC ORGANICS,TRICHLOROETHYLENE (TCE),0,0
1997,03,PA,TURBIDITY,TOTAL SUSPENDED SOLIDS (TSS),0,0
1997,03,VA,AMMONIA,AMMONIA,0,0
1997,03,VA,BENTHIC,BENTHIC,0,0
1997,03,VA,CARBONACEOUS BOD,CARBONACEOUS BOD,0,0
1997,03,VA,CAUSE UNKNOWN - IMPAIRED BIOTA,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,0,0
1997,03,VA,CHLORIDES,CHLORIDES,0,0
1997,03,VA,CHLORINE,CHLORINE,0,0
1997,03,VA,CHLORINE,"CHLORINE, RESIDUAL (CHLORINE DEMAND)",0,0
1997,03,VA,DDT,DDT,0,0
1997,03,VA,DIOXINS,DIOXIN,0,0
1997,03,VA,ENTEROCOCCUS BACTERIA,ENTEROCOCCUS BACTERIA,0,0
1997,03,VA,FECAL,FECAL,0,0
1997,03,VA,FECAL BACTERIA,FECAL BACTERIA,0,0
1997,03,VA,MERCURY,MERCURY,0,0
1997,03,VA,METALS (OTHER THAN MERCURY),ALUMINUM,0,0
1997,03,VA,METALS (OTHER THAN MERCURY),ARSENIC,0,0
1997,03,VA,METALS (OTHER THAN MERCURY),CADMIUM,0,0
1997,03,VA,METALS (OTHER THAN MERCURY),"CHROMIUM, HEXAVALENT",0,0
1997,03,VA,METALS (OTHER THAN MERCURY),"CHROMIUM, TOTAL",0,0
1997,03,VA,METALS (OTHER THAN MERCURY),COPPER,0,0
1997,03,VA,METALS (OTHER THAN MERCURY),IRON,0,0
1997,03,VA,METALS (OTHER THAN MERCURY),LEAD,0,0
1997,03,VA,METALS (OTHER THAN MERCURY),MANGANESE,0,0
1997,03,VA,METALS (OTHER THAN MERCURY),METALS (OTHER THAN MERCURY),0,0
1997,03,VA,METALS (OTHER THAN MERCURY),NICKEL,0,0
1997,03,VA,METALS (OTHER THAN MERCURY),SILVER,0,0
1997,03,VA,METALS (OTHER THAN MERCURY),ZINC,0,0
1997,03,VA,NUTRIENTS,NITRATE,0,0
1997,03,VA,NUTRIENTS,NITROGEN,0,0
1997,03,VA,NUTRIENTS,"NITROGEN, TOTAL",0,0
1997,03,VA,NUTRIENTS,PHOSPHORUS,0,0
1997,03,VA,NUTRIENTS,"PHOSPHORUS, TOTAL",0,0
1997,03,VA,NUTRIENTS,TOTAL KJEHLDAHL NITROGEN (TKN),0,0
1997,03,VA,ORGANIC ENRICHMENT/LOW DISSOLVED OXYGEN,ORGANIC ENRICHMENT/LOW DISSOLVED OXYGEN,0,0
1997,03,VA,ORGANIC ENRICHMENT/OXYGEN DEPLETION,BIOCHEMICAL OXYGEN DEMAND (BOD),0,0
1997,03,VA,ORGANIC ENRICHMENT/OXYGEN DEPLETION,DISSOLVED OXYGEN,0,0
1997,03,VA,ORGANIC ENRICHMENT/OXYGEN DEPLETION,ORGANIC ENRICHMENT,0,0
1997,03,VA,OTHER CAUSE,POLLUTANTS IN URBAN STORMWATER,0,0
1997,03,VA,PATHOGENS,BACTERIAL SLIMES,0,0
1997,03,VA,PATHOGENS,ENTEROCOCCUS,0,0
1997,03,VA,PATHOGENS,ESCHERICHIA COLI (E. COLI),0,0
1997,03,VA,PATHOGENS,FECAL COLIFORM,0,0
1997,03,VA,PATHOGENS,PATHOGENS,0,0
1997,03,VA,PESTICIDES,ALDRIN,0,0
1997,03,VA,PESTICIDES,ELDRIN,0,0
1997,03,VA,PESTICIDES,ENDRIN,0,0
1997,03,VA,PESTICIDES,NAPHTHALENE,0,0
1997,03,VA,PESTICIDES,TRIBUTYLTIN,0,0
1997,03,VA,PESTICIDES,XYLENE,0,0
1997,03,VA,PH/ACIDITY/CAUSTIC CONDITIONS,ALKALINITY,0,0
1997,03,VA,PH/ACIDITY/CAUSTIC CONDITIONS,PH,0,0
1997,03,VA,POLYCHLORINATED BIPHENYLS (PCBS),PCBS IN FISH TISSUE,0,0
1997,03,VA,POLYCHLORINATED BIPHENYLS (PCBS),PCBS IN SEDIMENT,0,0
1997,03,VA,POLYCHLORINATED BIPHENYLS (PCBS),POLYCHLORINATED BIPHENYLS (PCBS),0,0
1997,03,VA,SALINITY/TOTAL DISSOLVED SOLIDS/CHLORIDES/SULFATES,CHLORIDE,0,0
1997,03,VA,SALINITY/TOTAL DISSOLVED SOLIDS/CHLORIDES/SULFATES,TOTAL DISSOLVED SOLIDS (TDS),0,0
1997,03,VA,SEDIMENT,SEDIMENT,0,0
1997,03,VA,SHELLFISH HARVESTING ADVISORY,SHELLFISH HARVESTING ADVISORY,0,0
1997,03,VA,TEMPERATURE,TEMPERATURE,0,0
1997,03,VA,TOTAL RESIDUAL CHLORINE,TOTAL RESIDUAL CHLORINE,0,0
1997,03,VA,TOTAL TOXICS,WHOLE EFFLUENT TOXICITY (WET),0,0
1997,03,VA,TOXIC INORGANICS,CYANIDE,0,0
1997,03,VA,TOXIC ORGANICS,BENZENE,0,0
1997,03,VA,TOXIC ORGANICS,CHLOROFORM,0,0
1997,03,VA,TOXIC ORGANICS,DI-2-ETHYLHEXYL PHTHALATE,0,0
1997,03,VA,TOXIC ORGANICS,ETHYLBENZENE,0,0
1997,03,VA,TOXIC ORGANICS,ORGANICS,0,0
1997,03,VA,TOXIC ORGANICS,PENTACHLOROPHENOL (PCP),0,0
1997,03,VA,TOXIC ORGANICS,POLYCYCLIC AROMATIC HYDROCARBONS (PAHS) (AQUATIC ECOSYSTEMS),0,0
1997,03,VA,TOXIC ORGANICS,TOLUENE,0,0
1997,03,VA,TURBIDITY,TOTAL SUSPENDED SOLIDS (TSS),0,0
1997,03,WV,ACID,ACID,0,0
1997,03,WV,BIOLOGICAL,BIOLOGICAL,0,0
1997,03,WV,BIOLOGICAL IMPAIRMENT,BIOLOGICAL IMPAIRMENT,0,0
1997,03,WV,BIOLOGY,BIOLOGY,0,0
1997,03,WV,CARBONACEOUS BOD,CARBONACEOUS BOD,0,0
1997,03,WV,DIOXINS,DIOXIN,0,0
1997,03,WV,FECAL,FECAL,0,0
1997,03,WV,MERCURY,MERCURY,0,0
1997,03,WV,METALS (OTHER THAN MERCURY),ALUMINUM,0,0
1997,03,WV,METALS (OTHER THAN MERCURY),"ALUMINUM, DISSOLVED",0,0
1997,03,WV,METALS (OTHER THAN MERCURY),BERYLLIUM,0,0
1997,03,WV,METALS (OTHER THAN MERCURY),IRON,0,0
1997,03,WV,METALS (OTHER THAN MERCURY),LEAD,0,0
1997,03,WV,METALS (OTHER THAN MERCURY),MANGANESE,0,0
1997,03,WV,METALS (OTHER THAN MERCURY),SELENIUM,0,0
1997,03,WV,METALS (OTHER THAN MERCURY),ZINC,0,0
1997,03,WV,NITROGENOUS BOD,NITROGENOUS BOD,0,0
1997,03,WV,NUTRIENTS,PHOSPHORUS,0,0
1997,03,WV,ORGANIC ENRICHMENT/OXYGEN DEPLETION,DISSOLVED OXYGEN,0,0
1997,03,WV,ORGANIC ENRICHMENT/OXYGEN DEPLETION,ORGANIC ENRICHMENT,0,0
1997,03,WV,ORGANIC ENRICHMENT/OXYGEN DEPLETION,ORGANIC ENRICHMENT (SEWAGE) BIOLOGICAL INDICATORS,0,0
1997,03,WV,PATHOGENS,FECAL COLIFORM,0,0
1997,03,WV,PH/ACIDITY/CAUSTIC CONDITIONS,PH,0,0
1997,03,WV,POLYCHLORINATED BIPHENYLS (PCBS),POLYCHLORINATED BIPHENYLS (PCBS),0,0
1997,03,WV,SALINITY/TOTAL DISSOLVED SOLIDS/CHLORIDES/SULFATES,CHLORIDE,0,0
1997,03,WV,SEDIMENT,SEDIMENT,0,0
1997,03,WV,SEDIMENT,SEDIMENTATION,0,0
1997,04,AL,AMMONIA,AMMONIA,1,1
1997,04,AL,CARBONACEOUS BOD,CARBONACEOUS BOD,10,10
1997,04,AL,CHEMICAL BIOLOGICAL OXYGEN DEMAND 5 DAY AVERAGE,CHEMICAL BIOLOGICAL OXYGEN DEMAND 5 DAY AVERAGE,0,0
1997,04,AL,ENTEROCOCCUS BACTERIA,ENTEROCOCCUS BACTERIA,0,0
1997,04,AL,METALS (OTHER THAN MERCURY),ALUMINUM,0,0
1997,04,AL,METALS (OTHER THAN MERCURY),COPPER,0,0
1997,04,AL,METALS (OTHER THAN MERCURY),IRON,0,0
1997,04,AL,METALS (OTHER THAN MERCURY),LEAD,0,0
1997,04,AL,METALS (OTHER THAN MERCURY),METALS (OTHER THAN MERCURY),0,0
1997,04,AL,METALS (OTHER THAN MERCURY),ZINC,0,0
1997,04,AL,NH3-N,NH3-N,10,10
1997,04,AL,NITROGENOUS BOD,NITROGENOUS BOD,0,0
1997,04,AL,NUTRIENTS,"NITROGEN, TOTAL",0,0
1997,04,AL,NUTRIENTS,NUTRIENTS,0,0
1997,04,AL,NUTRIENTS,"PHOSPHORUS, TOTAL",0,0
1997,04,AL,ORGANIC ENRICHMENT/LOW DISSOLVED OXYGEN,ORGANIC ENRICHMENT/LOW DISSOLVED OXYGEN,9,9
1997,04,AL,OTHER HABITAT ALTERATION(S),OTHER HABITAT ALTERATION(S),0,0
1997,04,AL,PATHOGENS,ESCHERICHIA COLI (E. COLI),0,0
1997,04,AL,PATHOGENS,FECAL COLIFORM,0,0
1997,04,AL,PATHOGENS,PATHOGENS,0,0
1997,04,AL,PESTICIDES,ATRAZINE,0,0
1997,04,AL,PESTICIDES,CHLORPYRIFOS,0,0
1997,04,AL,PESTICIDES,ENDOSULFAN,0,0
1997,04,AL,PESTICIDES,METHYL PARATHION,0,0
1997,04,AL,PESTICIDES,PESTICIDES,0,0
1997,04,AL,PH/ACIDITY/CAUSTIC CONDITIONS,PH,0,0
1997,04,AL,PRIORITY ORGANICS - PCBS,PRIORITY ORGANICS - PCBS,0,0
1997,04,AL,PRIORITY ORGANICS COMPOUNDS,PRIORITY ORGANICS COMPOUNDS,0,0
