FiscalYear,Region,State,PollutantGroup,Pollutant,NumberOfTMDLs,CumulativeTMDLs
1997,8,CO,Nutrients,Nitrogen,1,1
1997,8,CO,Nutrients,Phosphorus,5,5
1997,8,CO,Pathogens,Fecal Coliform,10,10
1997,8,CO,Toxic Inorganics,Cyanide,2,2
1997,8,CO,Toxic Organics,Benzene,2,2
1997,8,MT,Mercury,Mercury,1,1
1997,8,MT,Metals (other than Mercury),Cadmium,1,1
1997,8,MT,Metals (other than Mercury),"Chromium, Total",1,1
1997,8,MT,Metals (other than Mercury),Copper,1,1
1997,8,MT,Metals (other than Mercury),Iron,1,1
1997,8,MT,Metals (other than Mercury),Lead,1,1
1997,8,MT,Metals (other than Mercury),Manganese,1,1
1997,8,MT,Metals (other than Mercury),Tin,1,1
1997,8,MT,Metals (other than Mercury),Zinc,1,1
1997,8,MT,Temperature,Temperature,1,1
1997,8,ND,Nutrients,Nutrients,5,5
1997,8,ND,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,2,2
1997,8,ND,Sediment,Sediment,4,4
1997,8,SD,Ammonia,Ammonia,7,7
1997,8,SD,Nutrients,Nitrogen,1,1
1997,8,SD,Nutrients,Nutrients,4,4
1997,8,SD,Nutrients,Phosphorus,2,2
1997,8,SD,Organic Enrichment/Oxygen Depletion,Biochemical Oxygen Demand (BOD),1,1
1997,8,SD,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,2,2
1997,8,SD,Pathogens,Fecal Coliform,1,1
1997,8,SD,Sediment,Sediment,4,4
1997,8,UT,Ammonia,"Ammonia, Un-ionized",4,4
1997,8,UT,Chlorine,Chlorine,4,4
1997,8,UT,Mercury,Mercury,1,1
1997,8,UT,Metals (other than Mercury),Copper,1,1
1997,8,UT,Metals (other than Mercury),Lead,1,1
1997,8,UT,Metals (other than Mercury),Zinc,1,1
1997,8,UT,Organic Enrichment/Oxygen Depletion,Biochemical Oxygen Demand (BOD),1,1
1997,8,UT,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,2,2
1997,8,WY,Ammonia,"Ammonia, Un-ionized",27,27
1997,8,WY,Chlorine,Chlorine,26,26
1997,8,WY,Metals (other than Mercury),Copper,1,1
1997,8,WY,Metals (other than Mercury),Iron,1,1
1997,8,WY,Metals (other than Mercury),Zinc,1,1
1997,8,WY,Pathogens,Fecal Coliform,23,23
1997,8,WY,Radiation,Radium,1,1
1997,8,WY,Salinity/Total Dissolved Solids/Chlorides/Sulfates,Total Dissolved Solids (TDS),1,1
1997,8,WY,Temperature,Temperature,1,1
1997,8,WY,Toxic Organics,Pentachlorophenol (PCP),1,1
1997,9,HI,Nutrients,Nitrogen,1,1
1997,10,AK,Pathogens,Fecal Coliform,2,2
1997,10,AK,Polychlorinated Biphenyls (PCBs),Polychlorinated Biphenyls (PCBs),0,1
1997,10,AK,Turbidity,Turbidity,1,1
1997,10,ID,Nutrients,Phosphorus,14,18
1997,10,OR,Ammonia,Ammonia Nitrogen,0,1
1997,10,OR,Nutrients,Phosphorus,0,1
1997,10,OR,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,0,3
1997,10,WA,Ammonia,Ammonia Nitrogen,21,38
1997,10,WA,Chlorine,Chlorine,1,2
1997,10,WA,Nutrients,Phosphorus,3,3
1997,10,WA,Nutrients,"Phosphorus, Total",1,1
1997,10,WA,Organic Enrichment/Oxygen Depletion,Biochemical Oxygen Demand (BOD),0,17
1997,10,WA,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),21,21
1997,10,WA,Pathogens,Fecal Coliform,4,20
1998,2,NJ,Mercury,Mercury,0,13
1998,2,NJ,Metals (other than Mercury),Copper,0,21
1998,2,NY,Ammonia,"Ammonia, Un-ionized",2,2
1998,2,NY,Mercury,Mercury,0,15
1998,2,NY,Nutrients,Phosphorus,2,10
1998,3,DE,Nutrients,Nitrogen,1,1
1998,3,DE,Nutrients,Phosphorus,1,1
1998,3,DE,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,1,1
1998,3,PA,Ammonia,NH3,1,1
1998,3,PA,Metals (other than Mercury),Metals (other than Mercury),33,33
1998,3,PA,Nutrients,Phosphorus,36,36
1998,3,PA,Pathogens,Pathogens,1,1
1998,3,PA,Sediment,Siltation,40,40
1998,3,PA,Temperature,Thermal Modifications,1,1
1998,3,PA,Total Toxics,Toxicity,1,1
1998,3,PA,Toxic Organics,Priority Organics Compounds,1,1
1998,3,VA,Nutrients,Total Kjehldahl Nitrogen (TKN),1,1
1998,3,VA,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),1,1
1998,3,VA,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,1,1
1998,3,VA,Pathogens,Fecal Coliform,1,1
1998,3,WV,Metals (other than Mercury),Aluminum,2,2
1998,3,WV,Metals (other than Mercury),Iron,1,1
1998,3,WV,Metals (other than Mercury),Manganese,1,1
1998,3,WV,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),1,1
1998,3,WV,Organic Enrichment/Oxygen Depletion,Nitrogenous BOD (NBOD),1,1
1998,3,WV,Pathogens,Fecal Coliform,5,5
1998,4,AL,Ammonia,NH3-N,0,10
1998,4,AL,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),0,10
1998,4,FL,Ammonia,"Ammonia, Un-ionized",0,1
1998,4,FL,Nutrients,"Nitrogen, Total",10,13
1998,4,FL,Nutrients,"Phosphorus, Total",1,3
1998,4,FL,Organic Enrichment/Oxygen Depletion,Chemical Oxygen Demand (COD),0,1
1998,4,FL,Organic Enrichment/Oxygen Depletion,Oxygen Demand,0,2
1998,4,GA,Organic Enrichment/Oxygen Depletion,Oxygen Demand,0,2
1998,4,GA,Pathogens,Fecal Coliform,101,101
1998,4,GA,Pesticides,Chlordane,2,2
1998,4,GA,Polychlorinated Biphenyls (PCBs),Polychlorinated Biphenyls (PCBs),14,14
1998,4,KY,Ammonia,NH3-N,0,5
1998,4,KY,Nutrients,"Phosphorus, Total",0,2
1998,4,KY,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),0,5
1998,4,KY,Pathogens,Fecal Coliform,16,16
1998,4,NC,Algal Growth,Chlorophyll-A,0,16
1998,4,NC,Chlorine,Total Residual Chlorine,0,6
1998,4,NC,Dioxins,Dioxin,0,5
1998,4,NC,Metals (other than Mercury),Cadmium,0,1
1998,4,NC,Metals (other than Mercury),"Chromium, Total",0,5
1998,4,NC,Metals (other than Mercury),Lead,0,6
1998,4,NC,Metals (other than Mercury),Nickel,0,5
1998,4,NC,Metals (other than Mercury),Selenium,0,3
1998,4,NC,Nutrients,"Nitrogen, Total",0,9
1998,4,NC,Nutrients,"Phosphorus, Total",0,9
1998,4,NC,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,0,10
1998,4,NC,Toxic Inorganics,Cyanide,0,12
1998,4,NC,Toxic Organics,Fluorene,0,4
1998,4,SC,Ammonia,NH3-N,2,2
1998,4,SC,Organic Enrichment/Oxygen Depletion,Biochemical Oxygen Demand (BOD),2,2
1998,6,LA,Ammonia,Ammonia Nitrogen,1,1
1998,6,LA,Ammonia,NH3-N,0,1
1998,6,LA,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),0,1
1998,6,LA,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,1,1
1998,6,LA,Turbidity,Total Suspended Solids (TSS),0,1
1998,6,OK,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,4,4
1998,6,OK,Organic Enrichment/Oxygen Depletion,Oxygen Demand,1,1
1998,8,CO,Ammonia,Ammonia,0,1
1998,8,CO,Ammonia,"Ammonia, Un-ionized",3,17
1998,8,CO,Chlorine,Chlorine,4,22
1998,8,CO,Mercury,Mercury,2,9
1998,8,CO,Metals (other than Mercury),Arsenic,0,1
1998,8,CO,Metals (other than Mercury),Cadmium,1,5
1998,8,CO,Metals (other than Mercury),"Chromium, Total",0,2
1998,8,CO,Metals (other than Mercury),Copper,0,6
1998,8,CO,Metals (other than Mercury),Iron,1,5
1998,8,CO,Metals (other than Mercury),Lead,1,5
1998,8,CO,Metals (other than Mercury),Manganese,2,7
1998,8,CO,Metals (other than Mercury),Selenium,1,1
1998,8,CO,Metals (other than Mercury),Silver,1,4
1998,8,CO,Metals (other than Mercury),Zinc,0,5
1998,8,CO,Nutrients,Nitrogen,0,1
1998,8,CO,Nutrients,Phosphorus,0,5
1998,8,CO,Pathogens,Fecal Coliform,5,15
1998,8,CO,Salinity/Total Dissolved Solids/Chlorides/Sulfates,Sulfate,1,1
1998,8,CO,Toxic Inorganics,Cyanide,0,2
1998,8,CO,Toxic Organics,Benzene,0,2
1998,8,CO,Toxic Organics,MTBE,1,1
1998,8,MT,Mercury,Mercury,2,3
1998,8,MT,Metals (other than Mercury),Aluminum,1,1
1998,8,MT,Metals (other than Mercury),Arsenic,2,2
1998,8,MT,Metals (other than Mercury),Cadmium,3,4
1998,8,MT,Metals (other than Mercury),"Chromium, Total",1,2
1998,8,MT,Metals (other than Mercury),Copper,2,3
1998,8,MT,Metals (other than Mercury),Iron,2,3
1998,8,MT,Metals (other than Mercury),Lead,3,4
1998,8,MT,Metals (other than Mercury),Manganese,2,3
1998,8,MT,Metals (other than Mercury),Nickel,1,1
1998,8,MT,Metals (other than Mercury),Selenium,1,1
1998,8,MT,Metals (other than Mercury),Tin,2,3
1998,8,MT,Metals (other than Mercury),Zinc,2,3
1998,8,MT,Noxious Aquatic Plants,Noxious Aquatic Plants,1,1
1998,8,MT,Salinity/Total Dissolved Solids/Chlorides/Sulfates,Total Dissolved Solids (TDS),1,1
1998,8,MT,Sediment,Sediment,4,4
1998,8,MT,Temperature,Temperature,0,1
1998,8,MT,Total Toxics,Total Toxics,1,1
1998,8,MT,Toxic Inorganics,Fluoride,1,1
1998,8,ND,Nutrients,Nutrients,0,5
1998,8,ND,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,0,2
1998,8,ND,Sediment,Sediment,0,4
1998,8,SD,Ammonia,Ammonia,13,20
1998,8,SD,Nutrients,Nitrogen,0,1
1998,8,SD,Nutrients,Nutrients,0,4
1998,8,SD,Nutrients,Phosphorus,0,2
1998,8,SD,Organic Enrichment/Oxygen Depletion,Biochemical Oxygen Demand (BOD),0,1
1998,8,SD,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,0,2
1998,8,SD,Pathogens,Fecal Coliform,0,1
1998,8,SD,Sediment,Sediment,0,4
1998,8,UT,Ammonia,"Ammonia, Un-ionized",0,4
1998,8,UT,Chlorine,Chlorine,0,4
1998,8,UT,Habitat Alterations,Habitat,5,5
1998,8,UT,Mercury,Mercury,0,1
1998,8,UT,Metals (other than Mercury),Copper,0,1
1998,8,UT,Metals (other than Mercury),Lead,0,1
1998,8,UT,Metals (other than Mercury),Zinc,0,1
1998,8,UT,Nutrients,Phosphorus,9,9
1998,8,UT,Organic Enrichment/Oxygen Depletion,Biochemical Oxygen Demand (BOD),0,1
1998,8,UT,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,1,3
1998,8,UT,Pathogens,Total Coliform,1,1
1998,8,UT,Sediment,Sediment,6,6
1998,8,WY,Ammonia,"Ammonia, Un-ionized",1,28
1998,8,WY,Chlorine,Chlorine,4,30
1998,8,WY,Metals (other than Mercury),Copper,0,1
1998,8,WY,Metals (other than Mercury),Iron,0,1
1998,8,WY,Metals (other than Mercury),Zinc,0,1
1998,8,WY,Pathogens,Fecal Coliform,4,27
1998,8,WY,Radiation,Radium,0,1
1998,8,WY,Salinity/Total Dissolved Solids/Chlorides/Sulfates,Total Dissolved Solids (TDS),0,1
1998,8,WY,Temperature,Temperature,0,1
1998,8,WY,Toxic Organics,Pentachlorophenol (PCP),0,1
1998,9,CA,Nutrients,"Nitrogen, Total",4,4
1998,9,CA,Nutrients,"Phosphorus, Total",4,4
1998,9,CA,Sediment,Sediment,5,5
1998,9,HI,Nutrients,Nitrogen,0,1
1998,10,AK,Pathogens,Fecal Coliform,0,2
1998,10,AK,Polychlorinated Biphenyls (PCBs),Polychlorinated Biphenyls (PCBs),0,1
1998,10,AK,Turbidity,Turbidity,0,1
1998,10,ID,Ammonia,Ammonia,1,1
1998,10,ID,Nutrients,Phosphorus,1,19
1998,10,ID,Pathogens,Bacteria,1,1
1998,10,ID,Sediment,Sediment,1,1
1998,10,ID,Temperature,Temperature,1,1
1998,10,OR,Ammonia,Ammonia Nitrogen,0,1
1998,10,OR,Nutrients,Phosphorus,0,1
1998,10,OR,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,0,3
1998,10,WA,Ammonia,Ammonia Nitrogen,0,38
1998,10,WA,Chlorine,Chlorine,0,2
1998,10,WA,Nutrients,Phosphorus,0,3
1998,10,WA,Nutrients,"Phosphorus, Total",0,1
1998,10,WA,Organic Enrichment/Oxygen Depletion,Biochemical Oxygen Demand (BOD),0,17
1998,10,WA,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),0,21
1998,10,WA,Pathogens,Fecal Coliform,0,20
1999,1,ME,Organic Enrichment/Oxygen Depletion,Biochemical Oxygen Demand (BOD),1,1
1999,1,ME,Turbidity,Total Suspended Solids (TSS),1,1
1999,1,RI,Nutrients,"Phosphorus, Total",1,1
1999,2,NJ,Mercury,Mercury,0,13
1999,2,NJ,Metals (other than Mercury),Copper,0,21
1999,2,NY,Ammonia,"Ammonia, Un-ionized",0,2
1999,2,NY,Mercury,Mercury,0,15
1999,2,NY,Nutrients,Phosphorus,0,10
1999,3,DC,Oil and Grease,Oil and Grease,1,1
1999,3,DE,Nutrients,Nitrogen,2,3
1999,3,DE,Nutrients,Phosphorus,4,5
1999,3,DE,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,3,4
1999,3,DE,Pathogens,Bacteria,1,1
1999,3,MD,Nutrients,Nitrogen,1,1
1999,3,MD,Nutrients,Phosphorus,2,2
1999,3,MD,Sediment,Suspended Sediment,1,1
1999,3,PA,Ammonia,NH3,0,1
1999,3,PA,Metals (other than Mercury),Metals (other than Mercury),0,33
1999,3,PA,Nutrients,Phosphorus,1,37
1999,3,PA,Pathogens,Pathogens,0,1
1999,3,PA,Pesticides,Chlordane,1,1
1999,3,PA,Polychlorinated Biphenyls (PCBs),Polychlorinated Biphenyls (PCBs),4,4
1999,3,PA,Sediment,Siltation,0,40
1999,3,PA,Temperature,Thermal Modifications,0,1
1999,3,PA,Total Toxics,Toxicity,0,1
1999,3,PA,Toxic Organics,Priority Organics Compounds,0,1
1999,3,PA,Turbidity,Suspended Solids,1,1
1999,3,VA,Nutrients,Total Kjehldahl Nitrogen (TKN),0,1
1999,3,VA,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),0,1
1999,3,VA,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,0,1
1999,3,VA,Pathogens,Fecal Coliform,1,2
1999,3,WV,Metals (other than Mercury),Aluminum,3,5
1999,3,WV,Metals (other than Mercury),Iron,5,6
1999,3,WV,Metals (other than Mercury),Manganese,0,1
1999,3,WV,Nutrients,Phosphorus,6,6
1999,3,WV,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),0,1
1999,3,WV,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,1,1
1999,3,WV,Organic Enrichment/Oxygen Depletion,Nitrogenous BOD (NBOD),0,1
1999,3,WV,Pathogens,Fecal Coliform,1,6
1999,3,WV,Sediment,Sediment,8,8
1999,4,AL,Ammonia,NH3-N,0,10
1999,4,AL,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),0,10
1999,4,FL,Ammonia,"Ammonia, Un-ionized",0,1
1999,4,FL,Nutrients,"Nitrogen, Total",0,13
1999,4,FL,Nutrients,"Phosphorus, Total",0,3
1999,4,FL,Organic Enrichment/Oxygen Depletion,Chemical Oxygen Demand (COD),0,1
1999,4,FL,Organic Enrichment/Oxygen Depletion,Oxygen Demand,0,2
1999,4,GA,Organic Enrichment/Oxygen Depletion,Oxygen Demand,0,2
1999,4,GA,Pathogens,Fecal Coliform,0,101
1999,4,GA,Pesticides,Chlordane,0,2
1999,4,GA,Polychlorinated Biphenyls (PCBs),Polychlorinated Biphenyls (PCBs),0,14
1999,4,KY,Ammonia,NH3-N,2,7
1999,4,KY,Nutrients,"Phosphorus, Total",0,2
1999,4,KY,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),2,7
1999,4,KY,Pathogens,Fecal Coliform,0,16
1999,4,KY,Salinity/Total Dissolved Solids/Chlorides/Sulfates,Chlorides,3,3
1999,4,MS,Organic Enrichment/Oxygen Depletion,Biochemical Oxygen Demand (BOD),1,1
1999,4,NC,Algal Growth,Chlorophyll-A,0,16
1999,4,NC,Chlorine,Total Residual Chlorine,0,6
1999,4,NC,Dioxins,Dioxin,0,5
1999,4,NC,Metals (other than Mercury),Cadmium,0,1
1999,4,NC,Metals (other than Mercury),"Chromium, Total",0,5
1999,4,NC,Metals (other than Mercury),Lead,0,6
1999,4,NC,Metals (other than Mercury),Nickel,0,5
1999,4,NC,Metals (other than Mercury),Selenium,0,3
1999,4,NC,Nutrients,Nitrogen,2,2
1999,4,NC,Nutrients,"Nitrogen, Total",0,9
1999,4,NC,Nutrients,"Phosphorus, Total",0,9
1999,4,NC,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,0,10
1999,4,NC,Toxic Inorganics,Cyanide,0,12
1999,4,NC,Toxic Organics,Fluorene,0,4
1999,4,SC,Ammonia,NH3-N,0,2
1999,4,SC,Organic Enrichment/Oxygen Depletion,Biochemical Oxygen Demand (BOD),13,15
1999,4,SC,Pathogens,Fecal Coliform,8,8
1999,4,TN,Metals (other than Mercury),Copper,1,1
1999,6,LA,Ammonia,Ammonia Nitrogen,0,1
1999,6,LA,Ammonia,NH3-N,0,1
1999,6,LA,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),0,1
1999,6,LA,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,0,1
1999,6,LA,Turbidity,Total Suspended Solids (TSS),0,1
1999,6,NM,Ammonia,Ammonia,1,1
1999,6,NM,Ammonia,"Ammonia, Total",1,1
1999,6,NM,Nutrients,Phosphorus,2,2
1999,6,NM,Nutrients,"Phosphorus, Total",1,1
1999,6,NM,Pathogens,Fecal Coliform,2,2
1999,6,NM,Sediment,Stream Bottom Deposits,2,2
1999,6,NM,Turbidity,Turbidity,4,4
1999,6,OK,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,5,9
1999,6,OK,Organic Enrichment/Oxygen Depletion,Organic Enrichment/Low Dissolved Oxygen,1,1
1999,6,OK,Organic Enrichment/Oxygen Depletion,Oxygen Demand,0,1
1999,8,CO,Ammonia,Ammonia,0,1
1999,8,CO,Ammonia,"Ammonia, Un-ionized",12,29
1999,8,CO,Chlorine,Chlorine,10,32
1999,8,CO,Mercury,Mercury,2,11
1999,8,CO,Metals (other than Mercury),Arsenic,0,1
1999,8,CO,Metals (other than Mercury),Cadmium,0,5
1999,8,CO,Metals (other than Mercury),"Chromium, Total",1,3
1999,8,CO,Metals (other than Mercury),Copper,2,8
1999,8,CO,Metals (other than Mercury),Iron,0,5
1999,8,CO,Metals (other than Mercury),Lead,0,5
1999,8,CO,Metals (other than Mercury),Manganese,1,8
1999,8,CO,Metals (other than Mercury),Selenium,0,1
1999,8,CO,Metals (other than Mercury),Silver,3,7
1999,8,CO,Metals (other than Mercury),Zinc,1,6
1999,8,CO,Nutrients,Nitrogen,0,1
1999,8,CO,Nutrients,Phosphorus,0,5
1999,8,CO,Pathogens,Fecal Coliform,9,24
1999,8,CO,Salinity/Total Dissolved Solids/Chlorides/Sulfates,Sulfate,0,1
1999,8,CO,Toxic Inorganics,Cyanide,1,3
1999,8,CO,Toxic Organics,Benzene,0,2
1999,8,CO,Toxic Organics,MTBE,0,1
1999,8,MT,Mercury,Mercury,0,3
1999,8,MT,Metals (other than Mercury),Aluminum,0,1
1999,8,MT,Metals (other than Mercury),Arsenic,0,2
1999,8,MT,Metals (other than Mercury),Cadmium,0,4
1999,8,MT,Metals (other than Mercury),"Chromium, Total",0,2
1999,8,MT,Metals (other than Mercury),Copper,0,3
1999,8,MT,Metals (other than Mercury),Iron,0,3
1999,8,MT,Metals (other than Mercury),Lead,0,4
1999,8,MT,Metals (other than Mercury),Manganese,0,3
1999,8,MT,Metals (other than Mercury),Nickel,0,1
1999,8,MT,Metals (other than Mercury),Selenium,0,1
1999,8,MT,Metals (other than Mercury),Tin,0,3
1999,8,MT,Metals (other than Mercury),Zinc,0,3
1999,8,MT,Noxious Aquatic Plants,Noxious Aquatic Plants,0,1
1999,8,MT,Nutrients,Nitrogen,8,8
1999,8,MT,Nutrients,Phosphorus,8,8
1999,8,MT,Salinity/Total Dissolved Solids/Chlorides/Sulfates,Salinity,1,1
1999,8,MT,Salinity/Total Dissolved Solids/Chlorides/Sulfates,Total Dissolved Solids (TDS),0,1
1999,8,MT,Sediment,Sediment,1,5
1999,8,MT,Temperature,Temperature,0,1
1999,8,MT,Total Toxics,Total Toxics,0,1
1999,8,MT,Toxic Inorganics,Fluoride,0,1
1999,8,ND,Nutrients,Nutrients,0,5
1999,8,ND,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,0,2
1999,8,ND,Sediment,Sediment,0,4
1999,8,SD,Ammonia,Ammonia,11,31
1999,8,SD,Mercury,Mercury,1,1
1999,8,SD,Metals (other than Mercury),Arsenic,1,1
1999,8,SD,Metals (other than Mercury),Cadmium,1,1
1999,8,SD,Metals (other than Mercury),"Chromium, Total",1,1
1999,8,SD,Metals (other than Mercury),Copper,1,1
1999,8,SD,Metals (other than Mercury),Lead,1,1
1999,8,SD,Metals (other than Mercury),Silver,1,1
1999,8,SD,Metals (other than Mercury),Zinc,1,1
1999,8,SD,Nutrients,Nitrogen,0,1
1999,8,SD,Nutrients,Nutrients,0,4
1999,8,SD,Nutrients,Phosphorus,10,12
1999,8,SD,Organic Enrichment/Oxygen Depletion,Biochemical Oxygen Demand (BOD),0,1
1999,8,SD,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),1,1
1999,8,SD,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,2,4
1999,8,SD,Pathogens,Fecal Coliform,1,2
1999,8,SD,Sediment,Sediment,7,11
1999,8,SD,Toxic Inorganics,Cyanide,2,2
1999,8,UT,Ammonia,"Ammonia, Un-ionized",8,12
1999,8,UT,Chlorine,Chlorine,2,6
1999,8,UT,Habitat Alterations,Habitat,0,5
1999,8,UT,Mercury,Mercury,0,1
1999,8,UT,Metals (other than Mercury),Copper,1,2
1999,8,UT,Metals (other than Mercury),Iron,1,1
1999,8,UT,Metals (other than Mercury),Lead,1,2
1999,8,UT,Metals (other than Mercury),Zinc,0,1
1999,8,UT,Nutrients,Phosphorus,0,9
1999,8,UT,Organic Enrichment/Oxygen Depletion,Biochemical Oxygen Demand (BOD),1,2
1999,8,UT,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,1,4
1999,8,UT,Pathogens,Total Coliform,0,1
1999,8,UT,Salinity/Total Dissolved Solids/Chlorides/Sulfates,Total Dissolved Solids (TDS),1,1
1999,8,UT,Sediment,Sediment,0,6
1999,8,WY,Ammonia,"Ammonia, Un-ionized",10,38
1999,8,WY,Chlorine,Chlorine,14,44
1999,8,WY,Metals (other than Mercury),Copper,0,1
1999,8,WY,Metals (other than Mercury),Iron,3,4
1999,8,WY,Metals (other than Mercury),Manganese,2,2
1999,8,WY,Metals (other than Mercury),Zinc,0,1
